epoch,train_mse,val_mse,time_s
1,0.809132,0.727818,2.22
2,0.632802,0.531543,1.82
3,0.440803,0.362256,1.78
4,0.314352,0.270406,1.84
5,0.233086,0.201801,1.79
6,0.181742,0.167505,1.99
7,0.150712,0.133043,2.18
8,0.123536,0.114236,2.06
9,0.106688,0.099033,1.81
10,0.088472,0.079938,1.88
11,0.075737,0.072780,1.82
12,0.069982,0.069082,2.10
13,0.064255,0.060745,1.85
14,0.055557,0.051262,1.81
15,0.047574,0.045818,1.83
16,0.040657,0.037221,1.91
17,0.033004,0.031888,1.83
18,0.027622,0.025646,1.81
19,0.024568,0.023534,1.85
20,0.022399,0.023388,1.84
21,0.019395,0.018653,1.92
22,0.016975,0.015974,2.04
23,0.014819,0.013773,2.02
24,0.013256,0.012432,1.83
25,0.012017,0.011588,1.90
26,0.010940,0.010504,1.84
27,0.010385,0.009515,1.83
28,0.009696,0.008894,1.83
29,0.009055,0.008623,1.85
30,0.008538,0.007954,1.84
31,0.008061,0.008731,1.81
32,0.007677,0.006966,1.82
33,0.007121,0.007125,1.81
34,0.006631,0.006151,1.82
35,0.006841,0.005757,1.79
36,0.005939,0.005539,1.80
37,0.005772,0.005606,1.81
38,0.005723,0.006813,2.01
39,0.005142,0.005721,2.03
40,0.005027,0.004537,1.94
41,0.004698,0.004696,1.83
42,0.004594,0.004252,1.92
43,0.004512,0.004310,1.86
44,0.004282,0.003825,1.81
45,0.004419,0.004483,1.90
46,0.003812,0.003853,1.89
47,0.003888,0.003821,1.80
48,0.003805,0.004139,1.87
49,0.003754,0.003430,1.88
50,0.003786,0.003653,1.81
51,0.003582,0.003838,1.89
52,0.003673,0.003114,1.83
53,0.003500,0.003005,1.85
54,0.003259,0.003147,2.07
55,0.003379,0.003113,2.06
56,0.003370,0.003099,1.96
57,0.003119,0.003549,1.80
58,0.003179,0.003186,1.85
59,0.003202,0.002892,1.82
60,0.003113,0.003162,1.83
